STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,OBS_VALUE,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,UNIT_MULT,OBS_STATUS,OBS_CONF,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SH_FPL_SATM_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2015,85.2,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SH_FPL_SATM_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2014,63.8,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZMB,WB_WDI_SH_FPL_SATM_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2018,68.5,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zambia,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SH_FPL_SATM_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2011,78.3,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,YEM,WB_WDI_SH_FPL_SATM_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2013,46.9,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,"Yemen, Rep.",Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ZWE,WB_WDI_SH_FPL_SATM_ZS,_T,_T,_T,PT,_Z,_Z,_Z,1999,71.6,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Zimbabwe,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFW,WB_WDI_SH_FPL_SATM_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2022,40.76796518913433,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Africa Western and Central,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IND,WB_WDI_SH_FPL_SATM_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2016,71.9,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,India,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,COM,WB_WDI_SH_FPL_SATM_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2012,27.4,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Comoros,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,IDN,WB_WDI_SH_FPL_SATM_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2017,77.1,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Indonesia,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,JOR,WB_WDI_SH_FPL_SATM_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2018,56.7,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Jordan,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NPL,WB_WDI_SH_FPL_SATM_ZS,_T,_T,_T,PT,_Z,_Z,_Z,2011,55.9,_Z,RATIO,2,WB_WDI,P1Y,0,A,PU,Annual,Nepal,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),Total,All age ranges or no breakdown by age,Total,Percentage,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
