comuna,barrio,cantidad_registros
Sin Informacion,Sin Informacion,420
San Antonio De Prado,San Antonio De Prado,210
Aranjuez,Moravia,134
Robledo,Robledo,131
Popular,Popular,131
Santa Cruz,Santa Cruz,119
Manrique,Las Granjas,119
Popular,Santo Domingo Savio No.1,110
Doce De Octubre,Kennedy,103
Castilla,Castilla,101
Buenos Aires,Loreto,98
Doce De Octubre,Picacho,94
Villa Hermosa,Villatina,92
Villa Hermosa,Los Mangos,87
Villa Hermosa,Enciso,86
San Antonio De Prado,Cabecera San Antonio De Prado,85
Robledo,Aures No.1,84
Belen,San Bernardo,82
Robledo,Pajarito,79
Popular,Carpinelo,77
Villa Hermosa,El Pinal,77
Manrique,Manrique Oriental,75
Corregimiento De San Cristobal,Corregimiento De San Cristobal,73
San Javier,Las Independencias,71
Doce De Octubre,Santander,71
Robledo,Aures No.2,71
Villa Hermosa,Llanaditas,69
Belen,El Rincon,69
Doce De Octubre,Pedregal,69
Aranjuez,Aranjuez,68
Popular,Santo Domingo Savio No.2,68
Manrique,Versalles No.1,67
San Javier,Blanquizal,66
Doce De Octubre,Doce De Octubre No.2,66
Popular,Granizal,65
Doce De Octubre,La Esperanza,65
Doce De Octubre,Doce De Octubre No.1,64
Robledo,El Diamante,64
Santa Cruz,La Isla,62
Manrique,La Salle,62
Villa Hermosa,La Libertad,62
Santa Cruz,La Francia,62
Manrique,La Cruz,62
Buenos Aires,Buenos Aires,61
Robledo,Olaya Herrera,59
Buenos Aires,El Salvador,59
San Javier,El Salado,59
Santa Cruz,Villa Del Socorro,58
Manrique,Manrique Central No.2,57
Guayabal,La Colina,55
San Javier,Juan Xxiii La Quiebra,54
Aranjuez,San Isidro,53
Popular,San Pablo,52
San Javier,Antonio Nariño,52
Guayabal,Trinidad,52
Villa Hermosa,Las Estancias,52
San Javier,La Pradera,50
Santa Cruz,Andalucia,50
San Javier,San Javier No.1,49
San Javier,Nuevos Conquistadores,49
Popular,Moscu No.2,49
Manrique,Campo Valdes No.2,48
Manrique,Oriente,48
Buenos Aires,Bombona No.2,48
Belen,Belen,48
Manrique,El Raizal,47
Manrique,Manrique Central N.2,47
Aranjuez,Manrique Central No.1,47
Belen,Las Violetas,46
La Candelaria,Prado,45
Villa Hermosa,Villa Hermosa,45
Belen,La Loma De Los Bernal,44
San Javier,Veinte De Julio,44
Manrique,Santa Ines,44
La Candelaria,San Diego,43
La Candelaria,Boston,42
Corregimiento De San Cristobal,Area De Expansion Pajarito,41
Buenos Aires,Barrios De Jesus,41
Popular,Santo Domingo Savio N.1,40
Doce De Octubre,San Martin De Porres,39
